"Geography","Number of establishments"
"Apache County, Arizona","449"
"Cochise County, Arizona","2,162"
"Coconino County, Arizona","3,930"
"Gila County, Arizona","1,028"
"Graham County, Arizona","561"
"Greenlee County, Arizona","85"
"La Paz County, Arizona","352"
"Maricopa County, Arizona","107,648"
"Mohave County, Arizona","4,292"
"Navajo County, Arizona","1,850"
"Pima County, Arizona","21,083"
"Pinal County, Arizona","4,534"
"Santa Cruz County, Arizona","1,125"
"Yavapai County, Arizona","6,463"
"Yuma County, Arizona","3,351"
